document,title,category
 linear connections on the quantum plane  general definition has been proposed recently of a linear connection and a metric in noncommutative geometry it is shown that to within normalization there is a unique linear connection on the quantum plane and there is no metric, linear connections on the quantum plane,Quantum Algebra
 center of a quantum affine algebra at the critical level we construct central elements in a completion of the quantum affine algebra at the critical level c g from the universal r matrix g being the dual coxeter number of the corresponding simple lie algebra  using the method of reshetikhin and semenov tian shansky this construction defines an action of the grothendieck algebra of the category of finite dimensional representations of the quantum affine algebra on any module over this algebra from category o with c g we explain the connection between the central elements and transfer matrices in statistical mechanics in the quasiclassical approximation this connection was explained by feigin e frenkel and reshetikhin in hep th 9402022 and it was mentioned that one could generalize it to the quantum case to get bethe vectors for transfer matrices using this connection we prove that the central elements   for all finite dimensional representations applied to the highest weight vector of a generic verma module at the critical level generate the whole space of singular vectors in this module we also compute the first term of the quasiclassical expansion of the central elements near q 1 and show that it always gives the sugawara current with a certain coefficient , center of a quantum affine algebra at the critical level,Quantum Algebra
 octonionic representations of clifford algebras and triality the theory of representations of clifford algebras is extended to employ the division algebra of the octonions or cayley numbers in particular questions that arise from the non associativity and non commutativity of this division algebra are answered octonionic representations for clifford algebras lead to a notion of octonionic spinors and are used to give octonionic representations of the respective orthogonal groups finally the triality automorphisms are shown to exhibit a manifest  perm 3 times so 8  structure in this framework , octonionic representations of clifford algebras and triality,Quantum Algebra
 diffeomorphisms of curved manifolds e obtain an expression for the curvature of the lie group sdiff cal m and use it to derive lukatskii s formula for the case where  cal m is locally euclidean we discuss qualitatively some previous findings for sdiff s 2  in conjunction with our result, diffeomorphisms of curved manifolds,Differential Geometry
 supercoherent states super k  ahler geometry and geometric quantization  generalized coherent states provide a means of connecting square integrable representations of a semi simple lie group with the symplectic geometry of some of its homogeneous spaces in the first part of the present work this point of view is extended to the supersymmetric context through the study of the osp 2 2 coherent states these are explicitly constructed starting from the known abstract typical and atypical representations of osp 2 2  their underlying geometries turn out to be those of supersymplectic osp 2 2  homogeneous spaces moment maps identifying the latter with coadjoint orbits of osp 2 2 are exhibited via berezin s symbols when considered within rothstein s general paradigm these results lead to a natural general definition of a super k  ahler supermanifold the supergeometry of which is determined in terms of the usual geometry of holomorphic hermitian vector bundles over k  ahler manifolds in particular the supergeometry of the above orbits is interpreted in terms of the geometry of einstein hermitian vector bundles in the second part an extension of the full geometric quantization procedure is applied to the same coadjoint orbits thanks to the super k  ahler character of the latter this procedure leads to explicit super unitary irreducible representations of osp 2 2 in super hilbert spaces of l 2  superholomorphic sections of prequantum bundles of the kostant type this work lays the foundations of a program aimed at classifying lie supergroups  coadjoint orbits and their associated irreducible representations ultimately leading to harmonic superanalysis for this purpose a set of consistent conventions is exhibited , supercoherent states super k  ahler geometry and geometric quantization ,Algebraic Geometry
 realizations of the q heisenberg and q virasoro algebras we give field theoretic realizations of both the q heisenberg and the  q virasoro algebra in particular we obtain the operator product expansions among the current and the energy momentum tensor obtained using the sugawara construction , realizations of the q heisenberg and q virasoro algebras,Quantum Algebra
 the role of solvable groups in quantization of lie algebras he elements of the wide class of quantum universal enveloping algebras are prooved to be hopf algebras h with spectrum q h  in the category of groups  such quantum algebras are quantum groups for simply connected solvable lie groups p h  this provides utilities for a new algorithm of constructing quantum algebras especially useful for nonsemisimple ones the quantization procedure can be carried out over an arbitrary field the properties of the algorithm are demonstrated on examples, the role of solvable groups in quantization of lie algebras,Algebraic Geometry
 deformation analysis of matrix models he tracy widom equations associated with level spacing distributions are realized as a special case of monodromy preserving deformations, deformation analysis of matrix models,Exactly Solvable and Integrable
 quantum groups on fibre bundles t is shown that the principle of locality and noncommutative geometry can be connnected by a sheaf theoretical method in this framework quantum spaces are introduced and examples in mathematical physics are given with the language of quantum spaces noncommutative principal and vector bundles are defined and their properties are studied important constructions in the classical theory of principal fibre bundles like associated bundles and differential calculi are carried over to the quantum case at the end q deformed instanton models are introduced for every integral index, quantum groups on fibre bundles,Quantum Algebra
 remarks on the entropy of 3 manifolds e give a simple combinatoric proof of an exponential upper bound on the number of distinct 3 manifolds that can be constructed by successively identifying nearest neighbour pairs of triangles in the boundary of a simplicial 3 ball and show that all closed simplicial manifolds that can be constructed in this manner are homeomorphic to s 3  we discuss the problem of proving that all 3 dimensional simplicial spheres can be obtained by this construction and give an example of a simplicial 3 ball whose boundary triangles can be identified pairwise such that no triangle is identified with any of its neighbours and the resulting 3 dimensional simplicial complex is a simply connected 3 manifold, remarks on the entropy of 3 manifolds,Geometric Topology
 four dimensional integrable theories there exist many four dimensional integrable theories they include self dual gauge and gravity theories all their extended supersymmetric generalisations  as well the full non self dual n 3 super yang mills equations we review the harmonic space formulation of the twistor transform for these theories which yields a method of producing explicit connections and metrics this formulation uses the concept of harmonic space analyticity which is closely related to that of quaternionic analyticity  talk by v ogievetsky at the g  ursey memorial conference i istanbul june 1994 , four dimensional integrable theories,Exactly Solvable and Integrable
 racah sum rule and biedenharn elliott identity for the super rotation 6 j symbols it is shown that the well known racah sum rule and biedenharn elliott identity satisfied by the recoupling coefficients or by the 6 j symbols of the usual rotation so 3  algebra can be extended to the corresponding features of the super rotation osp 1 2  superalgebra the structure of the sum rules is completely similar in both cases the only difference concerns the signs which are more involved in the super rotation case , racah sum rule and biedenharn elliott identity for the super rotation 6 j symbols,Quantum Algebra
 minimal affinizations of representations of quantum groups the u q g  module structure e describe the underlying u q g  module structure of representations of quantum affine algebras, minimal affinizations of representations of quantum groups the u q g  module structure,Quantum Algebra
 a time discretized version of the calogero moser model we introduce an integrable time discretized version of the classical calogero moser model which goes to the original model in a continuum limit  this discrete model is obtained from pole solutions of a discretized version of the kadomtsev petviashvili equation leading to a finite dimensional symplectic mapping lax pair symplectic structure and sufficient set of invariants of the discrete calogero moser model are constructed the classical r matrix is the same as for the continuum model , a time discretized version of the calogero moser model,Exactly Solvable and Integrable
 virasoro character identities from the andrews bailey construction e prove q series identities between bosonic and fermionic representations of certain virasoro characters  these identities include some of the conjectures made by the stony brook group as special cases our method is a direct application of andrews extensions of bailey s lemma to recently obtained polynomial identities, virasoro character identities from the andrews bailey construction,Quantum Algebra
 quantum groups and jordan structures this paper is meant to be an informal introduction to quantum groups  starting from its origins and motivations until the recent developments we call in particular the attention on the newly descovered relationship among quantum groups integrable models and jordan structures , quantum groups and jordan structures,Quantum Algebra
 free field representation of quantum affine algebra u q widehat sl 2  and form factors in higher spin xxz model  we consider the spin k 2 xxz model in the antiferomagnetic regime using the free field realization of the quantum affine algebra  uqa of level k  we give a free field realization of the type ii q vertex operator which describes creation and annihilation of physical particles in the model by taking a trace of the type i and the type ii q vertex operators over the irreducible highest weight representation of  uqa  we also derive an integral formula for form factors in this model investigating the structure of poles  we obtain a residue formula for form factors which is a lattice analog of the higher spin extension of the smirnov s formula in the massive integrable quantum field theory this result as well as the quantum deformation of the knizhnik zamolodchikov equation for form factors shows a deep connection in the mathematical structure of the integrable lattice models and the massive integrable quantum field theory , free field representation of quantum affine algebra u q widehat sl 2  and form factors in higher spin xxz model ,"Quantum Algebra, Exactly Solvable and"
 homotopy g algebras and moduli space operad this paper reemphasizes the ubiquitous role of moduli spaces of algebraic curves in associative algebra and algebraic topology the main results are  1  the space of an operad with multiplication is a homotopy g  i e  homotopy graded poisson algebra  2 the singular cochain complex is naturally an operad  3 the operad of decorated moduli spaces acts naturally on the de rham complex  omega bullet x of a k  a hler manifold x  thereby yielding the most general type of homotopy g algebra structure on  omega bullet x  one of the reasons to put this operadic nonsense on the physics bulletin board is that we use a typical construction of supersymmetric sigma model the construction of gromov witten invariants in kontsevich s version , homotopy g algebras and moduli space operad,Differential Geometry
 infinite dimensional geometry and quantum field theory of strings iii infinite dimensional w geometry of a second quantized free string  the present paper is devoted to various objects of the infinite dimensional w geometry of a second quantized free string our purpose is to include the w symmetries into the general infinite dimensional geometrical picture related to the quantum field theory of strings which was described in the first part of the paper algebras groups geom 11 1994 to appear  it is done by the change of the lie algebra of all infinitesimal reparametrizations of a string world sheet on the lie quasi pseudo algebra of classical w transformations  gervais matsuo quasi pseudo algebra as well as of the virasoro algebra on the central extended enlarged gervais matsuo quasi pseudo algebra a way to obtain w algebras from classical w transformations i e gervais matsuo quasi  pseudo algebra is proposed the relation of gervais matsuo differential w geometry to the batalin weinstein karasev maslov approach to nonlinear poisson brackets as well as to l v sabinin program of  nonlinear geometric algebra  are mentioned , infinite dimensional geometry and quantum field theory of strings iii infinite dimensional w geometry of a second quantized free string ,"Algebraic Geometry, Functional"
 operator formalism on general algebraic curves the usual laurent expansion of the analytic tensors on the complex plane is generalized to any closed and orientable riemann surface represented as an affine algebraic curve as an application the operator formalism for the b c  systems is developed the physical states are expressed by means of creation and annihilation operators as in the complex plane and the correlation functions are evaluated starting from simple normal ordering rules the hilbert space of the theory exhibits an interesting internal structure being splitted into n  n is the number of branches of the curve independent hilbert spaces exploiting the operator formalism a large collection of explicit formulas of string theory is derived , operator formalism on general algebraic curves,Algebraic Geometry
 realizations of the monster lie algebra we study aspects of the theory of generalized kac moody lie algebras or borcherds algebras and their standard modules it is shown how such an algebra with no mutually orthogonal imaginary simple roots including borcherds  monster lie algebra  frak m  can be naturally constructed from a certain kac moody subalgebra and a module for it we observe that certain generalized verma induced modules for generalized kac moody algebras are standard modules and hence irreducible in particular starting from the moonshine module for the monster group m  we construct a certain  frak gl 2  and m module  the tensor algebra over which carries a natural structure of irreducible module for  frak m  which is realized as an explicitly prescribed m covariant lie algebra of operators on this tensor algebra the existence of large free subalgebras of  frak m is further exploited to provide a simplification of borcherds proof of the conway norton conjectures for the mckay thompson series of the moonshine module the coefficients of these series are shown to satisfy natural recursion relations replication formulas equivalent to but different from those obtained by borcherds , realizations of the monster lie algebra,Quantum Algebra
 string theory on k3 surfaces the moduli space of n 4 4 string theories with a k3 target space is determined establishing in particular that the discrete symmetry group is the full integral orthogonal group of an even unimodular lattice of signature  4 20  the method combines an analysis of the classical theory of k3 moduli spaces with mirror symmetry a description of the moduli space is also presented from the viewpoint of quantum geometry and consequences are drawn concerning mirror symmetry for algebraic k3 surfaces , string theory on k3 surfaces,Algebraic Geometry
 universal r matrix of reductive lie algebras the aim of the paper is to build a universal r matrix for the multiparameter deformation of any reductive lie algebra such deformations formulated in the recent past by truini and varadarajan have the property of universality in a certain class and are shown by the present paper to be quasitriangular hopf algebras in order to build the r matrix we exploit the twisting method for introducing new parameters as well as for making the transition to the reductive case the physical motivation behind this construction is in the theory of integrable models we intend to use such r matrix for building the associated quantum r matrix and lax operators with spectral as well as color parameters  the color parameters being provided by the eigenvalues of the central generators of the reductive lie algebra in a given representation in this letter we present only the explicit form of the universal r matrix of reductive lie algebras and postpone its application to a forthcoming paper , universal r matrix of reductive lie algebras,Quantum Algebra
 classical integrable lattice models through quantum group related formalism e translate effectively our earlier quantum constructions to the classical language and using yang baxterisation of the faddeev reshetikhin takhtajan algebra are able to construct lax operators and associated r matrices of classical integrable models thus new as well as known lattice systems of different classes are generated including new types of collective integrable models and canonical models with nonstandard r matrices, classical integrable lattice models through quantum group related formalism,Quantum Algebra
 bialgebra actions twists and universal deformation formulas  we introduce a general theory of twisting algebraic structures based on actions of a bialgebra these twists are closely related to algebraic deformations and also to the theory of quasi triangular bialgebras in particular a deformation produced from a universal deformation formula udf  is a special case of a twist the most familiar example of a deformation produced from a udf is perhaps the  moyal product  which locally is the canonical quantization of the algebra of functions on a symplectic manifold in the direction of the poisson bracket in this case the derivations comprising the poisson bracket mutually commute and so this quantization is essentially obtained by exponentiating this bracket for more general poisson manifolds  this formula is not applicable since the associated derivations may no longer commute we provide here generalizations of the moyal formula which locally  give canonical quantizations of various poisson manifolds specifically  whenever a certain central extension of a heisenberg lie group acts on a manifold we obtain a quantization of its algebra of functions in the direction of a suitable poisson bracket obtained from noncommuting derivations , bialgebra actions twists and universal deformation formulas ,Quantum Algebra
 the advantage of a multi user mode the purpose of this very short note which maybe considered as a comment on  hep th 9401067  is to prove the following proposition proposition there exist certain models of mobilevision in which interpretational figures are observable only in a multi user mode in contrast to single user ones this result maybe interesting as for applications as for the understanding of theoretical foundations of quantum interactive processes hep th 9403015 , the advantage of a multi user mode,Adaptation and Self-Organizing
 topics in hidden symmetries these three topics are an attempt to explicate some curiosities of the inverse problem of representation theory i e having a set of operators to describe the  correct  algebraic object which is represented by them on simple examples related to the lie algebra sl 2 c  such consideration maybe regarded as toy one for analogous infinite dimensional problems in the modern quantum field theory conformal field theory integrable models field theory in non trivial backgrounds  some constructions inspired by these topics and related to infinite dimensional hidden symmetries which are produced by vertex operator fields will be discussed in the forthcoming article , topics in hidden symmetries,Algebraic Geometry
 dilute birman wenzl murakami algebra and d  2  n 1  models   dilute  generalisation of the birman wenzl murakami algebra is considered it can be  baxterised  to a solution of the yang baxter algebra  the d  2  n 1  vertex models are examples of corresponding solvable lattice models and can be regarded as the dilute version of the b  1  n  vertex models, dilute birman wenzl murakami algebra and d  2  n 1  models,Quantum Algebra
 algebraic integrability of schr  odinger operators and representations of lie algebras  in this paper we study integrability and algebraic integrability properties of certain matrix schr  odinger operators more specifically we associate such an operator with rational trigonometric or elliptic coefficients to every simple lie algebra g and every representation u of this algebra with a nonzero but finite dimensional zero weight subspace the calogero sutherland operator is a special case of this construction such an operator is always integrable  our main result is that it is also algebraically integrable in the rational and trigonometric case if the representation u is highest weight this generalizes the corresponding result for calogero sutherland operators proved by chalyh and vaselov we also conjecture that this is true for the elliptic case as well  which is a generalization of the corresponding conjecture by chalyh and vaselov for calogero sutherland operators , algebraic integrability of schr  odinger operators and representations of lie algebras ,Quantum Algebra
 bicovariant differential calculus on quantum groups from poisson lie structures he aim of this lecture is to give a pedagogical explanation of the notion of a poisson lie structure on the external algebra of a poisson lie group which was introduced in our previous papers using this notion as a guide we construct quantum external algebras on sl q n  with proper classical  dimension, bicovariant differential calculus on quantum groups from poisson lie structures,Quantum Algebra
 diffeomorphisms of the klein bottle and projective plane we calculate the riemann curvature tensor and sectional curvature for the lie group of volume preserving diffeomorphisms of the klein bottle and projective plane in particular we investigate the sign of the sectional curvature and find a possible disagreement with a theorem of lukatskii we suggest an amendment to this theorem , diffeomorphisms of the klein bottle and projective plane,Differential Geometry
 dynamical systems accepting the normal shift on an arbitrary riemannian manifold  newtonian dynamical systems which accept the normal shift on an arbitrary riemannian manifold are considered for them the determinating equations making the weak normality condition are derived the expansion for the algebra of tensor fields is constructed, dynamical systems accepting the normal shift on an arbitrary riemannian manifold ,"Differential Geometry, Chaotic"
 differential calculus on q minkowski space we wish to report here on a recent approach to the non commutative calculus on q minkowski space which is based on the reflection equations with no spectral parameter these are considered as the expression of the invariance  under the coaction of the q lorentz group of the commutation properties which define the different q minkowski algebras this approach also allows us to discuss the possible ambiguities in the definition of q minkowski space   cal m q and its differential calculus the commutation relations among the generators of  cal m q  coordinates   cal d q  derivatives   lambda q  one forms and a few invariant scalar operators are established and compared with earlier results , differential calculus on q minkowski space,Quantum Algebra
 on solutions to the twisted yang baxter equation solutions to the twisted yang baxter equation arising from intertwiners for cyclic representations of u q widehat sl n  are described via two coupled the lattice current algebras , on solutions to the twisted yang baxter equation,Quantum Algebra
 topics in quantum geometry of riemann surfaces two dimensional quantum gravity lectures given at international school of physics  enrico fermi  varenna  villa monastero june 28 july 7 1994, topics in quantum geometry of riemann surfaces two dimensional quantum gravity,Quantum Algebra
 infinite abelian subalgebras in quantum w algebras an elementary proof n elementary proof is given for the existence of infinite dimensional abelian subalgebras in quantum w algebras in suitable realizations these subalgebras define the conserved charges of various quantum integrable systems  we consider all principle w algebras associated with the simple lie algebras  the proof is based on the more general result that for a class of vertex operators the quantum operators are related to their classical counterparts by an equivalence transformation, infinite abelian subalgebras in quantum w algebras an elementary proof,Quantum Algebra
 some new solutions of yang baxter equation e have found some new solutions of both rational and trigonometric types by rewriting yang baxter equation as a triple product equation in a vector space of matrices, some new solutions of yang baxter equation,Exactly Solvable and Integrable
 generalized q oscillators and their hopf structures e study the relationships among the various forms of the q oscillator algebra and consider the conditions under which it supports a hopf structure  we also present a generalization of this algebra together with its corresponding hopf structure its multimode extensions are also considered, generalized q oscillators and their hopf structures,Quantum Algebra
 symmetric monopoles we discuss the spectral curves and rational maps associated with su 2  bogomolny monopoles of arbitrary charge k  we describe the effect on the rational maps of inverting monopoles in the plane with respect to which the rational maps are defined and discuss the monopoles invariant under such inversion we define the strongly centred monopoles and show they form a geodesic submanifold of the k monopole moduli space the space of strongly centred k monopoles invariant under the cyclic group of rotations about a fixed axis  c k  is shown to consist of several surfaces of revolution  generalizing the two surfaces obtained by atiyah and hitchin in the 2 monopole case geodesics on these surfaces give a novel type of k monopole scattering  we present a number of curves in tp 1 which we conjecture are the spectral curves of monopoles with the symmetries of a regular solid these conjectures are based on analogies with skyrmions , symmetric monopoles,Differential Geometry
 elliptic quantum many body problem and double affine knizhnik zamolodchikov equation he elliptic matrix quantum olshanetsky perelomov problem is introduced for arbitrary root systems by means of an elliptic generalization of the dunkl operators its equivalence with the double affine generalization of the knizhnik zamolodchikov equation in the induced representations is established, elliptic quantum many body problem and double affine knizhnik zamolodchikov equation,Quantum Algebra
 the homfly polynomial for torus links from chern simons gauge theory polynomial invariants corresponding to the fundamental representation of the gauge group su n  are computed for arbitrary torus knots and links in the framework of chern simons gauge theory making use of knot operators as a result a formula for the homfly polynomial for arbitrary torus links is presented , the homfly polynomial for torus links from chern simons gauge theory,Quantum Algebra
 group like structures in quantum lie algebras and the process of quantization for a certain class of lie bialgebras  a a   the corresponding quantum universal enveloping algebras u q a  are prooved to be equivalent to quantum groups fun q f    f  being the factor group for the dual group g   this property can be used to simplify the process of quantization the described class appears to be wide enough to contain all the standard quantizations of infinite series the properties of the groups f  are explicitly demonstrated for the standard deformations u q sl n   it is shown that for different a   remaining in the described class of lie bialgebras  the same algorithm leads to the nonstandard quantizations , group like structures in quantum lie algebras and the process of quantization,Quantum Algebra
  structures on braided spaces   structures on quantum and braided spaces of the type defined via an r matrix are studied these include q minkowski and q euclidean spaces as additive braided groups the duality between the   braided groups of vectors and covectors is proved and some first applications to braided geometry are made,  structures on braided spaces,Quantum Algebra
 on the symmetries of hamiltonian systems in this paper we show how the well know local symmetries of lagrangeans systems and in particular the diffeomorphism invariance emerge in the hamiltonian formulation we show that only the constraints which are linear in the momenta generate transformations which correspond to symmetries of the corresponding lagrangean system the nonlinear constraints which we have for instance in gravity supergravity and string theory rather generate the dynamics of the corresponding lagrangean system only in a very special combination with  trivial  transformations proportional to the equations of motion do they lead to symmetry transformations we reveal the importance of these special  trivial  transformations for the interconnection theorems which relate the symmetries of a system with its dynamics we prove these theorems for general hamiltonian systems we apply the developed formalism to concrete physically relevant systems and in particular those which are diffeomorphism invariant the connection between the parameters of the symmetry transformations in the hamiltonian and lagrangean formalisms is found the possible applications of our results are discussed , on the symmetries of hamiltonian systems,Exactly Solvable and Integrable
 trigonometric r matrices related to dilute birman wenzl murakami algebra explicit expressions for three series of r matrices which are related to a  dilute  generalisation of the birman wenzl murakami are presented of those one series is equivalent to the quantum r matrices of the  d  2  n 1  generalised toda systems whereas the remaining two series appear to be new , trigonometric r matrices related to dilute birman wenzl murakami algebra,Quantum Algebra
 symplectic geometry and hamiltonian flow of the renormalisation group equation it is argued that renormalisation group flow can be interpreted as being a hamiltonian vector flow on a phase space which consists of the couplings of the theory and their conjugate lq lq momenta  which are the vacuum expectation values of the corresponding composite operators the hamiltonian is linear in the conjugate variables and can be identified with the vacuum expectation value of the trace of the energy momentum operator for theories with massive couplings the identity operator plays a central role and its associated coupling gives rise to a potential in the flow equations the evolution of any quantity  such as n point green functions under renormalisation group flow can be obtained from its poisson bracket with the hamiltonian ward identities can be represented as constants of the motion which act as symmetry generators on the phase space via the poisson bracket structure , symplectic geometry and hamiltonian flow of the renormalisation group equation,Symplectic Geometry
 laughlin states on the sphere as representations of uq sl 2  e discuss quantum algebraic structures of the systems of electrons or quasiparticles on a sphere of which center a magnetic monople is located on we verify that the deformation parameter is related to the filling ratio of the particles in each case, laughlin states on the sphere as representations of uq sl 2 ,Algebraic Geometry
 reduction of toda lattice hierarchy to generalized kdv hierarchies and two matrix model toda lattice hierarchy and the associated matrix formulation of the  2m boson kp hierarchies provide a framework for the drinfeld sokolov reduction scheme realized through hamiltonian action within the second kp poisson bracket by working with free currents which abelianize the second kp hamiltonian structure we are able to obtain an unified formalism for the reduced sl m 1 m k  kdv hierarchies interpolating between the ordinary kp and kdv hierarchies the corresponding lax operators are given as superdeterminants of graded sl m 1 m k  matrices in the diagonal gauge and we describe their bracket structure and field content in particular we provide explicit free field representations of the associated w m m k  poisson bracket algebras generalizing the familiar nonlinear w m 1  algebra discrete b  a cklund transformations for sl m 1 m k  kdv are generated naturally from lattice translations in the underlying toda like hierarchy as an application we demonstrate the equivalence of the two matrix string model to the sl  m 1 1  kdv hierarchy , reduction of toda lattice hierarchy to generalized kdv hierarchies and two matrix model,Exactly Solvable and Integrable
 gauss decomposition of trigonometric r matrices he general formula for the universal r matrix for quantized nontwisted affine algebras by khoroshkin and tolstoy is applied for zero central charge highest weight modules of the quantized affine algebras it is shown how the universal r matrix produces the gauss decomposition of trigonomitric r matrix in tensor product of these modules explicit calculations for the simplest case of a 1  1  are presented as a consequence new formulas for the trigonometric r matrix with a parameter in tensor product of u q sl 2  verma modules are obtained, gauss decomposition of trigonometric r matrices,Quantum Algebra
 infinite dimensional geometry and quantum field theory of strings ii infinite dimensional noncommutative geometry of a self interacting string field  a geometric interpretation of quantum self interacting string field theory is given relations between various approaches to the second quantization of an interacting string are described in terms of the geometric quantization an algorithm to construct a quantum nonperturbative interacting string field theory in the quantum group formalism is proposed problems of a metric background in dependence are discussed, infinite dimensional geometry and quantum field theory of strings ii infinite dimensional noncommutative geometry of a self interacting string field ,"Algebraic Geometry, Functional"
 lie bialgebra contractions and quantum deformations of quasi orthogonal algebras lie bialgebra contractions are introduced and classified a non degenerate coboundary bialgebra structure is implemented into all pseudo orthogonal algebras so p q  starting from the one corresponding to so n 1  it allows to introduce a set of lie bialgebra contractions which leads to lie bialgebras of quasi orthogonal algebras this construction is explicitly given for the cases n 2 3 4  all lie bialgebra contractions studied in this paper define hopf algebra contractions for the drinfel d jimbo deformations u z so p q   they are explicitly used to generate new non semisimple quantum algebras as it is the case for the euclidean poincar e and galilean algebras , lie bialgebra contractions and quantum deformations of quasi orthogonal algebras,Quantum Algebra
 models for operads we study properties of differential graded dg operads modulo weak equivalences that is modulo the relation given by the existence of a chain of dg operad maps inducing a homology isomorphism this approach naturally arising in string theory leads us to consider various versions of models  besides of some applications in topology and homological algebra we show that our theory enables one to prove the existence of homotopy structures on physically relevant spaces for example we prove that a closed string field theory induces a homotopy lie algebra structure on the space of relative states which is one of main results of t kimura a voronov and j stasheff  see 16  our theory gives a systematic way to prove statements of this type  the paper is a corrected version of a preprint which began to circulate in march 1994 with some new examples added , models for operads,Quantum Algebra
 a comment on jones inclusions with infinite index  given an irreducible inclusion of infinite von neumann algebras  cn subset  cm together with a conditional expectation  e  cm rightarrow cm  such that the inclusion has depth 2 we show quite explicitely how  cn  can be viewed as the fixed point algebra of  cm w r t an outer action of a compact kac algebra acting on  cm  this gives an alternative proof under this special setting of a more general result of m enock and r nest  e n  see also s yamagami  ya2 , a comment on jones inclusions with infinite index ,"Functional Analysis, Quantum Algebra"
 quantum deformations of  tau functions bilinear identities and representation theory  this paper is a brief review of recent results on the concept of  generalized  tau function  defined as a generating function of all the matrix elements in a given highest weight representation of a universal enveloping algebra  cal g  despite the differences from the particular case of conventional  tau functions of integrable kp and toda lattice  hierarchies these generic  tau functions also satisfy bilinear hirota like equations which can be deduced from manipulations with intertwining operators  the main example considered in details is the case of quantum groups when such  tau  functions  are not c numbers but take their values in non commutative algebras of functions on the quantum group g  the paper contains only illustrative calculations for the simplest case of the algebra sl 2 and its quantum counterpart sl q 2  as well as for the system of fundamental representations of sl n , quantum deformations of  tau functions bilinear identities and representation theory ,Exactly Solvable and Integrable
 determinants of elliptic pseudo differential operators determinants of invertible pseudo differential operators pdos close to positive self adjoint ones are defined throughthe zeta function regularization  we define a multiplicative anomaly as the ratio  det ab  det a det b   considered as a functionon pairs of elliptic pdos we obtained an explicit formula for the multiplicative anomaly in terms of symbols of operators for a certain natural classof pdos on odd dimensional manifolds generalizing the class of ellipticdifferential operators the multiplicative anomaly is identically 1  for elliptic pdos from this class a holomorphic determinant and a determinant for zero orders pdos are introduced using various algebraic  analytic and topological tools we study local and global properties of the multiplicative anomaly and of the determinant lie group closely related with it the lie algebra for the determinant lie group has a description in terms of symbols only our main discovery is that there is a  em quadratic non linearity hidden in the definition of determinants of pdos through zeta functions the natural explanation of this non linearity follows from complex analytic properties of a new trace functional tr on pdos of non integer orders using tr we easily reproduce known facts about noncommutative residues of pdos and obtain several new results in particular we describe a structure of derivatives of zeta functions at zero as of functions on logarithms of elliptic pdos we propose several definitions extending zeta regularized determinants to general elliptic pdos for elliptic pdos of nonzero complex orders we introduce a canonical determinant in its natural domain of definition , determinants of elliptic pseudo differential operators,Quantum Algebra
 on the inhomogeneous quantum groups using the multi parametric deformation of the algebra of functions on   gl n 1  and the universal enveloping algebra  u igl n 1   we construct the multi parametric quantum groups  iglq n  and  uq igl n   , on the inhomogeneous quantum groups,Quantum Algebra
 quantum cohomology of partial flag manifolds e compute the quantum cohomology rings of the partial flag manifolds f n 1 cdots n k u n  u n 1 times cdots times u n k  the inductive computation uses the idea of givental and kim also we define a notion of the vertical quantum cohomology ring of the algebraic bundle for the flag bundle f n 1 cdots n k e associated with the vector bundle e this ring is found, quantum cohomology of partial flag manifolds,Algebraic Geometry
 on certain quantum deformations of gl n r   in this paper all deformations of the general linear group subject to certain restrictions which in particular ensure a smooth passage to the lie group limit are obtained representations are given in terms of certains sets of creation and annihilation operators these creation and annihilation operators may belong to a generalisation of the q quark type or q hadronic type of q boson or q fermion type we are also led to a natural definition of q direct sums of q algebras , on certain quantum deformations of gl n r  ,Quantum Algebra
 interrelations between quantum groups and reflection equation braided algebras we show that the differential complex  omega b  over the braided matrix algebra bm q n  represents a covariant comodule with respect to the coaction of the hopf algebra  omega a  which is a differential extension of  gl q n  on the other hand the algebra  omega a  is a covariant braided comodule with respect to the coaction of the braided hopf algebra  omega b   geometrical aspects of these results are discussed , interrelations between quantum groups and reflection equation braided algebras,Quantum Algebra
 a nonmeromorphic extension of the moonshine module vertex operator algebra we describe a natural structure of an abelian intertwining algebra in the sense of dong and lepowsky on the direct sum of the untwisted vertex operator algebra constructed  from the leech lattice and its unique irreducible twisted module when restricting ourselves to the moonshine module we obtain a new and conceptual proof that the moonshine module has a natural structure of a vertex operator algebra this abelian intertwining algebra also contains an irreducible twisted module for the moonshine module with respect to the obvious involution in addition it contains a vertex operator superalgebra and a twisted module for this vertex operator superalgebra with respect to the involution which is the identity on the even subspace and is  1 on the odd subspace it also gives the superconformal structures observed by dixon  ginsparg and harvey , a nonmeromorphic extension of the moonshine module vertex operator algebra,Quantum Algebra
 on algebraic structures implicit in topological quantum field theories we show that reasonably well behaved 3d and 4d tqfts must contain certain algebraic structures in 4d we find both hopf categories and trialgebras , on algebraic structures implicit in topological quantum field theories,Quantum Algebra
 on the hopf structure of u p q gl 1 1  and the universal  cal t  matrix of fun p q gl 1 1   using the technique developed by fronsdal and galindo lett math phys 27  1993 57 for studying the hopf duality between the quantum algebras  fun p q gl 2  and u p q gl 2   the hopf structure of  u p q gl 1 1   dual to fun p q gl 1 1   is derived and the corresponding universal  cal t  matrix of fun p q gl 1 1   embodying the suitably modified exponential relationship u p q gl 1 1   rightarrow  fun p q gl 1 1   is obtained , on the hopf structure of u p q gl 1 1  and the universal  cal t  matrix of fun p q gl 1 1  ,Quantum Algebra
